user_id,item_id,score
7,3,0.0
7,7,0.0
9,2,0.0
9,7,0.0
9,9,0.0
11,7,0.0
12,1,0.0
14,1,0.0
14,7,0.0
14,5,1.0
16,7,0.0
16,9,0.0
18,3,0.0
18,9,1.0
20,4,0.0
28,7,0.0
30,3,1.0
32,3,0.0
32,1,0.0
33,5,0.0
34,5,1.0
34,4,0.0
38,7,1.0
38,4,1.0
38,3,1.0
46,9,1.0
50,5,1.0
50,1,0.0
50,4,0.0
51,5,0.0
51,4,0.0
54,3,0.0
54,4,0.0
55,9,0.0
55,7,1.0
55,2,1.0
59,4,1.0
61,7,1.0
61,4,1.0
62,1,1.0
62,7,0.0
62,3,0.0
66,7,0.0
67,4,1.0
67,3,0.0
68,2,0.0
68,9,1.0
68,5,0.0
70,3,0.0
70,4,1.0
70,7,1.0
72,7,1.0
76,3,0.0
76,1,0.0
76,4,0.0
78,7,1.0
81,4,1.0
81,7,1.0
81,3,0.0
82,5,0.0
82,7,0.0
85,3,1.0
85,7,1.0
88,4,0.0
91,7,1.0
94,4,0.0
94,6,0.0
94,1,0.0
95,4,0.0
95,7,1.0
95,5,1.0
97,9,0.0
99,2,0.0
99,9,0.0
105,4,0.0
105,3,0.0
106,3,0.0
106,1,0.0
106,7,0.0
108,9,0.0
108,5,0.0
110,6,0.0
111,3,0.0
111,4,1.0
111,7,1.0
116,5,1.0
118,7,1.0
123,5,0.0
123,8,1.0
125,2,1.0
126,7,1.0
129,7,0.0
129,5,1.0
132,4,1.0
132,5,0.0
138,5,1.0
139,4,1.0
139,7,1.0
148,7,1.0
148,4,1.0
148,3,0.0
150,3,0.0
153,7,1.0
157,7,1.0
159,7,0.0
160,1,0.0
161,1,0.0
162,7,0.0
162,2,0.0
163,7,1.0
163,5,1.0
164,7,1.0
164,5,1.0
165,4,1.0
165,7,0.0
167,5,1.0
167,3,1.0
168,7,1.0
174,6,0.0
174,2,0.0
174,9,1.0
174,1,0.0
176,4,0.0
178,4,1.0
178,5,1.0
184,5,1.0
187,7,1.0
187,5,1.0
188,4,1.0
192,4,1.0
192,5,1.0
193,7,1.0
194,9,0.0
194,2,0.0
194,5,0.0
195,4,1.0
200,4,1.0
204,5,0.0
208,7,0.0
208,4,1.0
208,2,0.0
208,9,1.0
212,5,0.0
213,4,0.0
214,9,0.0
214,4,1.0
214,3,1.0
218,7,0.0
221,7,0.0
221,1,0.0
223,7,1.0
223,4,1.0
223,9,0.0
225,4,0.0
225,5,0.0
227,5,1.0
229,9,0.0
232,4,0.0
232,7,1.0
232,1,0.0
237,7,1.0
238,6,0.0
238,7,0.0
238,4,0.0
243,9,0.0
243,7,0.0
244,4,1.0
251,4,1.0
251,7,0.0
251,3,0.0
255,7,1.0
257,7,0.0
257,6,0.0
257,1,0.0
260,4,0.0
260,3,0.0
265,1,0.0
268,5,1.0
268,4,1.0
268,1,1.0
273,4,1.0
274,5,0.0
274,4,0.0
276,5,0.0
281,4,0.0
284,9,1.0
284,4,1.0
290,5,1.0
290,3,1.0
291,5,1.0
292,4,1.0
294,3,1.0
294,4,1.0
294,1,1.0
296,4,1.0
302,5,0.0
303,4,0.0
306,3,0.0
306,5,1.0
306,7,1.0
308,5,1.0
308,4,1.0
309,5,0.0
309,4,1.0
309,7,1.0
310,4,1.0
312,9,1.0
320,7,0.0
326,4,0.0
329,3,0.0
332,7,0.0
332,9,0.0
334,5,1.0
338,3,1.0
338,7,1.0
338,5,1.0
341,1,0.0
341,3,0.0
342,3,1.0
342,5,0.0
342,4,1.0
344,7,0.0
345,5,1.0
345,4,1.0
345,1,0.0
346,1,0.0
346,7,1.0
346,3,1.0
348,3,0.0
348,7,0.0
348,5,1.0
352,6,1.0
352,7,1.0
352,4,1.0
361,4,0.0
362,4,0.0
362,7,0.0
366,9,0.0
366,4,1.0
366,5,1.0
368,4,0.0
368,7,1.0
368,5,1.0
369,4,1.0
369,1,0.0
369,6,0.0
370,4,0.0
370,7,1.0
370,5,1.0
371,7,1.0
371,5,1.0
371,3,1.0
372,7,0.0
372,4,1.0
372,3,1.0
374,7,0.0
376,4,1.0
377,7,1.0
382,4,0.0
382,5,1.0
382,7,1.0
384,4,1.0
386,3,1.0
387,7,0.0
391,4,1.0
391,5,0.0
391,3,0.0
393,5,1.0
398,4,0.0
398,7,1.0
401,2,0.0
403,9,0.0
403,7,1.0
403,4,1.0
408,6,0.0
408,4,0.0
408,7,1.0
414,3,0.0
416,2,1.0
416,5,1.0
419,6,0.0
419,7,0.0
419,3,0.0
424,3,1.0
425,5,1.0
425,2,0.0
426,5,1.0
428,5,1.0
428,3,0.0
428,9,1.0
437,4,1.0
443,4,1.0
445,3,1.0
445,4,1.0
454,5,1.0
457,5,1.0
458,9,0.0
458,5,1.0
458,4,0.0
465,7,1.0
472,7,0.0
474,4,0.0
474,7,1.0
478,7,0.0
480,9,0.0
481,7,1.0
482,4,0.0
482,2,0.0
484,3,0.0
484,7,0.0
484,4,0.0
486,6,0.0
486,7,1.0
486,1,0.0
486,4,0.0
491,7,1.0
493,9,0.0
493,4,0.0
493,5,0.0
499,6,0.0
499,5,1.0
499,4,1.0
500,3,0.0
505,7,1.0
505,4,1.0
508,7,1.0
508,3,0.0
511,3,1.0
511,1,0.0
511,7,1.0
512,5,1.0
515,5,1.0
515,9,1.0
517,7,1.0
517,5,0.0
518,3,1.0
518,7,0.0
523,5,0.0
523,7,0.0
527,3,1.0
527,7,1.0
527,4,1.0
531,9,0.0
531,4,0.0
532,4,1.0
533,4,1.0
535,3,0.0
535,4,1.0
542,9,1.0
542,5,1.0
543,4,1.0
545,7,0.0
545,4,0.0
546,5,0.0
547,7,1.0
550,4,1.0
551,5,1.0
552,4,1.0
552,9,0.0
553,5,0.0
557,4,1.0
560,7,1.0
560,9,1.0
563,4,1.0
564,7,1.0
564,3,1.0
564,4,0.0
566,5,0.0
566,6,0.0
566,4,0.0
571,7,1.0
571,4,1.0
573,7,1.0
574,7,0.0
577,5,1.0
577,7,1.0
577,6,0.0
578,7,0.0
580,6,0.0
580,1,0.0
580,5,1.0
580,3,0.0
590,3,0.0
590,8,1.0
594,4,1.0
594,7,1.0
594,3,0.0
599,4,1.0
600,9,0.0
600,7,1.0
600,1,1.0
600,5,1.0
602,4,0.0
605,7,0.0
605,9,0.0
610,3,0.0
611,7,0.0
614,9,0.0
614,4,0.0
615,3,0.0
615,7,0.0
615,9,1.0
618,6,0.0
618,3,0.0
618,4,1.0
621,5,0.0
623,4,0.0
623,5,1.0
624,2,0.0
626,5,0.0
629,7,1.0
629,4,1.0
630,7,0.0
632,9,1.0
632,7,1.0
633,3,0.0
633,5,1.0
639,3,1.0
639,5,1.0
643,6,0.0
643,4,0.0
643,3,0.0
646,4,0.0
650,4,0.0
651,4,0.0
651,6,0.0
651,7,1.0
653,5,1.0
654,6,0.0
654,4,1.0
654,7,0.0
656,7,0.0
660,5,0.0
661,1,0.0
662,5,0.0
664,5,0.0
664,3,0.0
671,3,0.0
674,7,1.0
675,3,0.0
675,4,0.0
675,5,1.0
679,4,0.0
679,5,1.0
680,7,0.0
681,7,0.0
690,3,0.0
690,4,1.0
692,9,0.0
692,6,0.0
692,3,0.0
696,7,1.0
698,7,1.0
698,4,0.0
698,3,0.0
700,5,0.0
700,7,1.0
708,7,0.0
712,5,1.0
716,5,1.0
716,4,0.0
716,3,0.0
717,3,0.0
717,7,1.0
720,6,0.0
722,4,1.0
722,1,0.0
722,7,1.0
723,5,1.0
723,2,1.0
723,3,0.0
725,2,1.0
726,7,1.0
729,4,1.0
732,5,1.0
732,4,1.0
734,4,1.0
734,2,1.0
734,3,0.0
735,4,0.0
735,5,0.0
735,7,0.0
737,7,0.0
739,3,0.0
739,4,1.0
741,9,1.0
741,5,0.0
741,3,1.0
744,7,1.0
744,3,0.0
744,9,1.0
745,4,1.0
747,4,1.0
747,3,1.0
747,6,0.0
747,7,1.0
750,4,0.0
750,9,1.0
752,9,1.0
752,3,1.0
752,2,1.0
755,3,1.0
757,5,1.0
763,9,1.0
763,4,1.0
763,3,1.0
765,9,1.0
766,5,1.0
766,7,1.0
766,9,0.0
769,7,1.0
770,7,1.0
771,7,0.0
772,5,1.0
775,7,1.0
779,4,1.0
779,7,1.0
781,5,1.0
783,7,1.0
783,3,0.0
784,3,0.0
784,5,0.0
789,9,1.0
789,4,1.0
789,7,1.0
790,7,0.0
791,4,1.0
802,5,1.0
802,3,0.0
802,1,0.0
805,4,1.0
805,9,1.0
806,7,0.0
806,3,0.0
806,4,0.0
807,7,1.0
808,1,0.0
808,3,1.0
808,7,1.0
810,9,0.0
810,7,1.0
811,6,0.0
815,4,1.0
816,3,1.0
820,5,0.0
820,3,0.0
821,7,1.0
823,5,1.0
823,3,0.0
827,9,0.0
829,1,0.0
829,4,1.0
829,3,0.0
832,5,1.0
834,9,1.0
834,2,1.0
835,4,1.0
839,5,1.0
839,2,1.0
839,3,0.0
842,4,1.0
844,3,0.0
844,5,1.0
845,9,0.0
846,4,1.0
851,5,0.0
853,7,1.0
861,7,1.0
861,4,1.0
861,1,1.0
865,4,0.0
866,5,0.0
866,7,0.0
866,6,0.0
867,5,1.0
869,4,0.0
869,5,1.0
871,5,0.0
871,1,0.0
871,3,0.0
877,5,0.0
881,4,0.0
881,7,1.0
883,7,0.0
883,5,0.0
886,3,0.0
886,7,0.0
886,6,0.0
888,5,0.0
889,9,1.0
889,4,1.0
890,7,0.0
890,4,0.0
891,7,1.0
891,3,1.0
892,4,1.0
892,6,1.0
892,5,1.0
893,5,0.0
896,5,0.0
897,7,1.0
898,5,1.0
898,4,0.0
898,6,0.0
899,7,1.0
899,4,1.0
900,7,0.0
903,5,1.0
907,7,1.0
909,4,0.0
913,4,1.0
913,3,0.0
913,5,1.0
916,3,1.0
916,7,1.0
924,4,1.0
924,6,0.0
924,1,0.0
928,5,1.0
928,1,1.0
928,6,0.0
930,4,1.0
930,7,1.0
933,9,1.0
936,5,0.0
937,5,0.0
939,9,0.0
939,2,0.0
940,7,1.0
940,6,0.0
941,7,0.0
941,5,0.0
942,9,0.0
942,7,0.0
944,3,0.0
944,5,0.0
946,4,1.0
946,7,0.0
946,3,1.0
947,4,1.0
954,9,1.0
954,4,1.0
955,3,0.0
956,9,1.0
956,5,1.0
959,3,1.0
962,7,1.0
962,3,1.0
962,4,1.0
966,7,1.0
966,5,1.0
966,3,0.0
974,4,0.0
975,4,1.0
990,7,0.0
991,3,0.0
994,5,1.0
1003,5,0.0
1005,5,1.0
1006,4,1.0
1006,5,1.0
1009,7,1.0
1009,3,1.0
1009,6,0.0
1011,5,1.0
1011,9,1.0
1013,5,1.0
1013,2,0.0
1013,7,0.0
1017,7,1.0
1017,3,0.0
1017,5,1.0
1020,5,0.0
1020,7,1.0
1026,3,1.0
1026,7,0.0
1031,7,1.0
1031,5,1.0
1033,4,0.0
1034,6,0.0
1036,5,1.0
1040,5,1.0
1040,1,0.0
1040,7,1.0
