item_id,knowledge_code
1,[1]
2,[1]
3,[1]
4,[2]
5,[2]
6,[2]
7,[2]
8,[2]
9,[2]
10,[2]
11,[2]
12,[2]
13,[2]
14,[2]
15,[2]
16,[2]
17,[2]
18,[2]
19,[2]
20,[2]
21,[2]
22,[2]
23,[2]
24,[2]
25,[3]
26,[3]
27,[3]
28,[3]
29,[3]
30,[3]
31,[3]
32,[3]
33,[3]
34,[3]
35,[3]
36,[3]
37,[3]
38,[3]
39,[3]
40,[3]
41,[3]
42,[2]
43,[2]
44,[2]
45,[3]
46,[3]
47,[3]
48,[3]
49,[3]
50,[3]
51,[4]
52,[4]
53,[4]
54,[4]
55,[4]
56,[4]
57,[4]
58,[4]
59,[4]
60,[5]
61,[5]
62,[4]
63,[6]
64,[5]
65,[5]
66,[5]
67,[5]
68,[5]
69,[5]
70,[5]
71,[5]
72,[5]
73,[5]
74,[5]
75,[5]
76,[5]
77,[5]
78,[5]
79,[5]
80,[5]
81,[5]
82,[5]
83,[5]
84,[5]
85,[5]
86,[5]
87,[7]
88,[7]
89,[7]
90,[7]
91,[7]
92,[7]
93,[7]
94,[8]
95,[8]
96,[8]
97,[8]
98,[9]
99,[10]
100,[10]
101,[10]
102,[10]
103,[10]
104,[10]
105,[10]
106,[10]
107,[10]
108,[10]
109,[10]
110,[10]
111,[10]
112,[10]
113,[10]
114,[10]
115,[10]
116,[10]
117,[10]
118,[10]
119,[10]
120,[10]
121,[10]
122,[10]
123,[10]
124,[10]
125,[10]
126,[10]
127,[10]
128,[10]
129,[10]
130,[10]
131,[10]
132,[10]
133,[10]
134,[11]
135,[11]
136,[11]
137,[11]
138,[11]
139,[11]
140,[11]
141,[11]
142,[11]
143,[11]
144,[11]
145,[11]
146,[11]
147,[11]
148,[11]
149,[11]
150,[11]
151,[11]
152,[11]
153,[10]
154,[10]
155,[10]
156,[12]
157,[12]
158,[12]
159,[12]
160,[12]
161,[12]
162,[12]
163,[12]
164,[12]
165,[12]
166,[12]
167,[12]
168,[12]
169,[12]
170,[12]
171,[10]
172,[12]
173,[12]
174,[12]
175,[12]
176,[12]
177,[12]
178,[12]
179,[12]
180,[12]
181,[12]
182,[12]
183,[12]
184,[12]
185,[12]
186,[12]
187,[12]
188,[13]
189,[13]
190,[13]
191,[13]
192,[13]
193,[13]
194,[13]
195,[13]
196,[13]
197,[13]
198,[13]
199,[14]
200,[14]
201,[14]
202,[14]
203,[14]
204,[14]
205,[14]
206,[14]
207,[14]
208,[15]
209,[15]
210,[15]
211,[9]
212,[9]
213,[9]
214,[9]
215,[9]
216,[9]
217,[9]
218,[9]
219,[10]
220,[10]
221,[10]
222,[10]
223,[10]
224,[10]
225,[10]
226,[10]
227,[10]
228,[10]
229,[10]
230,[10]
231,[10]
232,[10]
233,[10]
234,[10]
235,[15]
236,[15]
237,[13]
238,[13]
239,[13]
240,[13]
241,[13]
242,[13]
243,[13]
244,[13]
245,[13]
246,[13]
247,[13]
248,[13]
249,[13]
250,[13]
251,[13]
252,[13]
253,[13]
254,[16]
255,[16]
256,[16]
257,[16]
258,[16]
259,[16]
260,[16]
261,[16]
262,[16]
263,[16]
264,[16]
265,[16]
266,[16]
267,[16]
268,[16]
269,[16]
270,[16]
271,[16]
272,[16]
273,[16]
274,[16]
275,[16]
276,[16]
277,[16]
278,[16]
279,[16]
280,[16]
281,[16]
282,[16]
283,[16]
284,[16]
285,[16]
286,[16]
287,[16]
288,[16]
289,[16]
290,[16]
291,[16]
292,[16]
293,[16]
294,[16]
295,[16]
296,[16]
297,[16]
298,[16]
299,[16]
300,[16]
301,[16]
302,[16]
303,[16]
304,[16]
305,[16]
306,[17]
307,[17]
308,[17]
309,[17]
310,[17]
311,[16]
312,[12]
313,[12]
314,[12]
315,[7]
316,[7]
317,[7]
318,[7]
319,[7]
320,[7]
321,[7]
322,[7]
323,[7]
324,[7]
325,[7]
326,[8]
327,[8]
328,[8]
329,[8]
330,[8]
331,[8]
332,[8]
333,[8]
334,[18]
335,[18]
336,[18]
337,[18]
338,[18]
339,[18]
340,[18]
341,[18]
342,[18]
343,[8]
344,[8]
345,[8]
346,[8]
347,[8]
348,[8]
349,[8]
350,[15]
351,[15]
352,[15]
353,[15]
354,[15]
355,[15]
356,[19]
357,[19]
358,[19]
359,[19]
360,[19]
361,[7]
362,[7]
